ID EBV
3DD.003D5866D5_CX-82_2020 25.63447681
3DD.003E2A32C4_CX-61_2022 -2.92128198
3DD.003D5865F2_CX-15_2019 -1.94957761
3DD.003D312BE7_CX-108_2017 -2.50830786
3DD.003E2A2D50_CX-114_2022 -21.47771389
3DD.003D3DB6BE_CX-170_2019 -25.53739402
3DD.003D3DB7EC_cx-144_2018 48.12869576
3DD.003BEF65B0_CX-21_2016 -2.45244231
3DD.003D3DB83E_cx-67_2018 18.4798986
3DD.003BDCFB4C_CX-91_2014 -13.49212169
3DD.003D312B9E_CX-188_2017 -48.1808053
3DD.003E091047_CX-13_2022 7.09407105
3DD.003BEF650A_CX-27_2016 -2.96475361
3DD.003D5865D4_CX-11_2019 1.66709339
3DD.003D585F6E_CX-4_2020 10.35255233
3DD.003D586795_CX-133_2020 -20.67030314
3DD.003BF058C8_CX-124_2016 0.48420904
3DD.003BEF2A86_CX-16_2016 -15.53644832
3DD.003D5863BC_CX-46_2019 11.99349229
3DD.003D5865FA_cx-101_2018 -1.53970601
3DD.003D3DB66D_CX-72_2019 -1.05311461
3DD.003E2A31B8_CX-134_2022 0.81322268
3DD.003BDCFCB4_CX-107_2014 2.55253551
3DD.003D3DB8A3_CX-27_2019 -11.46625096
3DD.003D5865CF_CX-11_2019 -5.33287259
3DD.003D3DB5E7_cx-15_2018 33.45293499
3DD.003D5864BC_CX-174_2019 0.79581132
3DD.003BF05947_CX-118_2016 -2.31742608
3DD.003BF059B9_CX-75_2016 -10.79607055
3DD.003D3DB6C9_CX-142_2019 16.16444551
3DD.003D3DB7B5_cx-13_2018 -10.21363778
3DD.003BF05A46_CX-82_2016 -8.04130966
3DD.003D585F16_CX-52_2020 -31.50777123
3DD.003BF05937_CX-124_2016 7.98417259
3DD.003BF05782_CX-14_2017 -17.83336039
3DD.003BEF657E_CX-22_2016 4.27896404
3DD.003D585F2F_CX-56_2020 -18.98534694
3DD.003E0912F9_CX-145_2020 -13.53150566
3DD.003D3DB953_CX-35_2019 2.32687261
3DD.003D312BBB_CX-184_2017 7.75328044
3DD.003D312B2E_CX-162_2017 -41.7343201
3DD.003D5864BE_CX-196_2019 -28.15002474
3DD.003BEF2AA8_CX-15_2016 -10.38542849
3DD.003D586409_CX-134_2019 -1.50213529
3DD.003D586001_CX-102_2020 11.48454574
3DD.003D312C66_CX-129_2017 13.6253289
3DD.003D586020_CX-120_2020 -23.78031223
3DD.003E2A2BD9_CX-70_2022 15.20572103
3DD.003D3DB8B7_CX-19_2019 14.05034462
3DD.003BEF6583_CX-22_2016 17.47889174
3DD.003E2A3295_CX-50_2022 17.30600998
3DD.003D58644C_CX-107_2019 28.57493361
3DD.003D3DB828_cx-69_2018 -2.18666762
3DD.003D3DB65A_CX-91_2019 1.01738355
3D9.239F88B7C1_CX-85_2017 1.05978624
3DD.003BEF64E0_CX-23_2016 -39.41156851
3DD.003BF05755_CX-49_2016 11.89429893
3DD.003D586651_cx-84_2018 2.12694283
3DD.003E2A329A_CX-48_2022 8.15686133
3DD.003D3DB79A_cx-12_2018 -0.21368638
3D9.239F88B9D5_CX-85_2017 17.05970847
3DD.003BF05AE7_CX-64_2016 19.42074625
3DD.003E2A2BD5_CX-97_2022 -0.85934229
3DD.003E2A31FB_CX-134_2022 7.0631923
3DD.003D586256_CX-85_2020 19.97299816
3DD.003D3DB702_CX-170_2019 -22.20407688
3DD.003E2A3252_CX-152_2022 2.31835522
3DD.003D3DB59D_cx-48_2018 -5.18276269
3DD.003D3DB6D5_CX-135_2019 14.16445523
3DD.003BEF2B01_CX-14_2016 -9.98765098
3DD.003D585F26_cx-46_2020 39.72700227
3DD.003BF05A9F_CX-61_2016 -39.60751896
3DD.003D3DB5C9_cx-107_2018 -12.20632083
3DD.003E0912B5_CX-144_2020 -4.29198593
3DD.003D3DB958_CX-43_2019 -12.00639106
3DD.003D586451_CX-117_2019 -12.0915354
3DD.003D3DB86E_cx-67_2018 -4.85332132
3DD.003BEF2AFD_CX-11_2016 24.94221342
