id	dam	sire
3DD.003D5865E0_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865E4_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865EA_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865ED_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865EE_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D3DB777_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB781_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB78D_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB78E_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB790_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB797_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB798_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7A9_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7AA_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7AC_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7AD_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7AF_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7B0_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7B2_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7B5_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7BB_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7BD_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7BF_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7C3_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7CC_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7D2_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7D7_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB7D8_CX-13_2018	3DD.003BF05A3D_CX-82_2016	3DD.003BF0570C_CX-47_2016
3DD.003D3DB58A_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB595_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB59E_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB59F_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5A0_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5A8_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
3DD.003D3DB5A9_CX-107_2018	3DD.003BF05A0E_CX-75_2016	3DD.003BEF6728_CX-116_2016
