id sire dam
20141286  20100446  20100692
20141355  20100107  20100393
20141360  20100107  20100393
20141362  20100107  20100393
20141368  20100107  20100393
20141370  20100107  20100393
20141373  20100107  20100393
20141374  20100107  20100393
20141375  20100107  20100393
20141383  20100660  20100451
20141385  20100660  20100451
20141394  20100660  20100451
20141398  20100660  20100451
20141557  20091161  20100392
20141567  20091161  20100392
20141569  20091161  20100392
20141571  20091161  20100392
20141575  20100107  20100393
20141576  20091161  20100392
20141577  20091161  20100392
20141578  20091161  20100392
20141579  20091161  20100392
20141801  20100660  20100451
20141802  20100660  20100451
20141813  20100660  20100451
20141816  20100660  20100451
20141823  20100524  20100853
20141824  20100524  20100853
20141825  20100524  20100853
20141832  20100524  20100853
20141840  20100524  20100853
20141968  20100183  20100729
20141971  20100183  20100729
20141972  20100183  20100729
20141973  20100183  20100729
20141974  20100183  20100729
20141976  20100183  20100729
20141980  20100183  20100729
20142053  20100524  20100856
20142054  20100524  20100856
20142063  20100524  20100856
20142064  20100524  20100856
20142065  20100524  20100856
20142069  20100446  20100914
20142070  20100446  20100914
20142071  20100446  20100914
20142072  20100446  20100914
20142078  20100446  20100914
20142081  20100446  20100914
20142118  20100446  20100914
20142122  20100446  20100914
20142123  20091161  20100392
20142124  20100446  20100914
20142125  20100446  20100914
20142128  20100446  20100914
20142137  20100371  20100507
20142141  20100371  20100507
20142146  20100371  20100507
20142148  20100371  20100507
20142150  20100371  20100507
20142152  20100371  20100507
20142156  20100371  20100507
20142222  20100371  20100176
20142228  20100371  20100176
20142229  20100371  20100176
20142231  20100371  20100176
20142364  20100876  20100174
20142368  20100876  20100174
20142374  20100876  20100174
20142377  20100876  20100174
20142378  20100876  20100174
20142380  20100876  20100174
20142468  20100447  20100916
20142620  20100336  20100814
20142622  20100336  20100814
20143027  20100747  20100750
20143028  20100747  20100750
20143029  20100747  20100750
20143032  20100747  20100750
20143037  20100747  20100750
20143128  20100852  20100357
20143133  20100852  20100357
20143135  20100852  20100357
20143146  20100852  20100357
20143262  20100524  20100856
20143269  20100524  20100856
20143285  20100524  20100856
20143313  20100433  20100518
20143323  20100433  20100518
20143326  20100433  20100518
20143336  20100876  20100174
20143340  20100876  20100174
20143341  20100876  20100174
20143342  20100876  20100174
20143343  20100876  20100174
20143346  20100876  20100174
20143351  20100876  20100174
20143361  20100447  20100916
20143363  20100447  20100916
20143365  20100447  20100916
20143368  20100447  20100916
20143371  20100446  20100914
20143460  20108978  20109016
20143463  20108978  20109016
20143465  20108978  20109016
20143466  20108978  20109016
20143468  20108978  20109016
20143470  20108978  20109016
20143472  20108978  20109016
20143473  20108978  20109016
20143474  20108978  20109016
20143475  20108979  20109017
20143478  20108979  20109017
20143480  20108979  20109017
20143481  20108979  20109017
20143482  20108979  20109017
20143483  20108979  20109017
20143484  20108979  20109017
20143485  20108979  20109017
20143491  20108979  20109020
20143494  20108979  20109020
20143495  20108979  20109020
20143496  20108979  20109020
20143497  20108979  20109020
20143498  20108979  20109020
20143499  20108979  20109020
20143500  20108979  20109020
20143501  20108979  20109020
20143506  20108984  20109023
20143509  20108984  20109023
20143510  20108984  20109023
20143511  20108984  20109023
20143512  20108984  20109023
20143513  20108984  20109023
20143515  20108984  20109023
20143516  20108984  20109023
20143517  20108984  20109023
20143518  20108984  20109023
20143519  20108986  20109025
20143522  20108986  20109025
20143523  20108986  20109025
20143524  20108986  20109025
20143525  20108986  20109025
20143526  20108986  20109025
20143527  20108986  20109025
20143528  20108986  20109025
20143529  20108986  20109025
20143534  20108991  20109030
20143537  20108991  20109030
20143538  20108991  20109030
20143539  20108991  20109030
20143541  20108991  20109030
20143542  20108991  20109030
20143543  20108991  20109030
20143544  20108991  20109030
20143549  20108992  20109031
20143552  20108992  20109031
20143553  20108992  20109031
20143554  20108992  20109031
20143555  20108992  20109031
20143556  20108992  20109031
20143557  20108992  20109031
20143558  20108992  20109031
20143564  20108984  20109037
20143568  20108984  20109037
20143569  20108984  20109037
20143570  20108984  20109037
20143571  20108984  20109037
20143572  20108984  20109037
20143576  20108984  20109037
20143579  20108997  20109039
20143582  20108997  20109039
20143583  20108997  20109039
20143584  20108997  20109039
20143585  20108997  20109039
20143586  20108997  20109039
20143587  20108997  20109039
20143588  20108997  20109039
20143589  20108997  20109039
20143592  20108998  20109040
20143595  20108998  20109040
20143596  20108998  20109040
20143597  20108998  20109040
20143599  20108998  20109040
20143600  20108998  20109040
20143601  20108998  20109040
20143602  20108998  20109040
20143607  20108999  20109042
20143610  20108999  20109042
20143611  20108999  20109042
20143612  20108999  20109042
20143613  20108999  20109042
20143614  20108999  20109042
20143615  20108999  20109042
20143617  20108999  20109042
20143621  20108999  20109042
20143622  20108992  20109043
20143625  20108992  20109043
20143626  20108992  20109043
20143627  20108992  20109043
20143628  20108992  20109043
20143630  20108992  20109043
20143631  20108992  20109043
20143632  20108992  20109043
20143636  20108992  20109043
20143640  20109001  20109045
20143641  20109001  20109045
20143642  20109001  20109045
20143643  20109001  20109045
20143644  20109001  20109045
20143645  20109001  20109045
20143646  20109001  20109045
20143647  20109001  20109045
20143650  20109001  20109045
20143652  20108994  20109046
20143655  20108994  20109046
20143656  20108994  20109046
20143657  20108994  20109046
20143658  20108994  20109046
20143659  20108994  20109046
20143660  20108994  20109046
20143661  20108994  20109046
20143667  20109002  20109047
20143670  20109002  20109047
20143671  20109002  20109047
20143672  20109002  20109047
20143674  20109002  20109047
20143675  20109002  20109047
20143676  20109002  20109047
20143677  20109002  20109047
20143680  20109002  20109047
20143681  20109003  20109049
20143684  20109003  20109049
20143685  20109003  20109049
20143686  20109003  20109049
20143687  20109003  20109049
20143688  20109003  20109049
20143689  20109003  20109049
20143691  20109003  20109049
20143695  20109003  20109049
20143696  20108983  20109050
20143699  20108983  20109050
20143701  20108983  20109050
20143703  20108983  20109050
20143704  20108983  20109050
20143706  20108983  20109050
20143708  20108983  20109050
20143710  20108998  20109052
20143713  20108998  20109052
20143714  20108998  20109052
20143715  20108998  20109052
20143716  20108998  20109052
20143717  20108998  20109052
20143718  20108998  20109052
20143719  20108998  20109052
20143723  20108978  20109053
20143726  20108978  20109053
20143727  20108978  20109053
20143728  20108978  20109053
20143729  20108978  20109053
20143730  20108978  20109053
20143731  20108978  20109053
20143732  20108978  20109053
20143738  20109005  20109054
20143741  20109005  20109054
20143742  20109005  20109054
20143743  20109005  20109054
20143744  20109005  20109054
20143745  20109005  20109054
20143746  20109005  20109054
20143747  20109005  20109054
20143748  20109005  20109054
20143753  20109006  20109055
20143756  20109006  20109055
20143757  20109006  20109055
20143758  20109006  20109055
20143759  20109006  20109055
20143760  20109006  20109055
20143761  20109006  20109055
20143762  20109006  20109055
20143763  20109006  20109055
20143767  20109007  20109056
20143771  20109007  20109056
20143772  20109007  20109056
20143773  20109007  20109056
20143774  20109007  20109056
20143775  20109007  20109056
20143776  20109007  20109056
20143777  20109007  20109056
20143781  20109007  20109056
20143782  20109008  20109057
20143785  20109008  20109057
20143787  20109008  20109057
20143788  20109008  20109057
20143789  20109008  20109057
20143790  20109008  20109057
20143791  20109008  20109057
20143792  20109008  20109057
20143796  20109008  20109057
20143797  20109010  20109059
20143800  20109010  20109059
20143801  20109010  20109059
20143803  20109010  20109059
20143804  20109010  20109059
20143805  20109010  20109059
20143806  20109010  20109059
20143807  20109010  20109059
20143810  20109010  20109059
20143812  20109011  20109060
20143816  20109011  20109060
20143818  20109011  20109060
20143820  20109011  20109060
20143822  20109011  20109060
20143824  20109011  20109060
20143826  20109011  20109060
20143830  20109012  20109061
20143833  20109012  20109061
20143834  20109012  20109061
20143835  20109012  20109061
20143838  20109012  20109061
20143839  20109012  20109061
20143840  20109012  20109061
20143843  20109012  20109061
20143845  20109010  20109062
20143849  20109010  20109062
20143850  20109010  20109062
20143851  20109010  20109062
20143852  20109010  20109062
20143853  20109010  20109062
20143854  20109010  20109062
20143855  20109010  20109062
20143858  20109010  20109062
20143860  20100194  20100574
20143863  20100194  20100574
20143864  20100194  20100574
20143865  20100194  20100574
20143866  20100194  20100574
20143867  20100194  20100574
20143868  20100194  20100574
20143869  20100194  20100574
20143870  20100194  20100574
20143876  20100446  20100692
20143879  20100446  20100692
20143880  20100446  20100692
20143881  20100446  20100692
20143882  20100446  20100692
20143883  20100446  20100692
20143885  20100446  20100692
20143906  20100182  20100643
20143909  20100182  20100643
20143911  20100182  20100643
20143912  20100182  20100643
20143916  20100182  20100643
20143918  20100182  20100643
20143919  20100182  20100643
20143920  20100182  20100643
20143921  20100107  20100393
20143924  20100107  20100393
20143925  20100107  20100393
20143926  20100107  20100393
20143927  20100107  20100393
20143928  20100107  20100393
20143929  20100107  20100393
20143930  20100107  20100393
20143934  20100107  20100393
20143940  20100733  20100541
20143941  20100733  20100541
20143942  20100733  20100541
20143944  20100733  20100541
20143945  20100733  20100541
20143951  20091161  20100392
20143954  20091161  20100392
20143955  20091161  20100392
20143957  20091161  20100392
20143959  20091161  20100392
20143960  20091161  20100392
20143961  20091161  20100392
20143966  20100314  20100184
20143970  20100314  20100184
20143971  20100314  20100184
20143972  20100314  20100184
20143973  20100314  20100184
20143974  20100314  20100184
20143975  20100314  20100184
20143976  20100314  20100184
20143981  20091161  20100391
20143984  20091161  20100391
20143985  20091161  20100391
