ID EBV
3DD.003D312B9E_CX-188_2017 -1.59243769
3DD.003E2A2D50_CX-114_2022 -2.94332036
3DD.003E091047_CX-13_2022 2.96271666
3DD.003D585F6E_CX-4_2020 0.5932716
3DD.003D586795_CX-133_2020 0.48343754
3DD.003E2A31B8_CX-134_2022 1.59619262
3DD.003D585F16_CX-52_2020 -1.91570397
3DD.003D585F2F_CX-56_2020 -5.25903389
3DD.003E0912F9_CX-145_2020 -1.24465388
3DD.003D312BBB_CX-184_2017 1.59925145
3DD.003D586001_CX-102_2020 0.35338587
3DD.003D586020_CX-120_2020 -1.75319802
3DD.003E2A2BD9_CX-70_2022 -1.30897998
3DD.003E2A3295_CX-50_2022 0.49553148
3DD.003E2A329A_CX-48_2022 -0.43969945
3DD.003E2A2BD5_CX-97_2022 -1.77292058
3DD.003E2A31FB_CX-134_2022 1.51966653
3DD.003D586256_CX-85_2020 3.34678299
3DD.003E2A3252_CX-152_2022 -3.08357509
3DD.003D585F26_cx-46_2020 0.82967765
3DD.003E0912B5_CX-144_2020 -1.06012254
3DD.003E0912DB_CX-145_2020 -1.14899626
3DD.003D3129A6_CX-56_2017 0.87647941
3DD.003D5867B7_CX-133_2020 0.77234932
3DD.003E2A3288_CX-48_2022 -1.10930274
3DD.003E2A3202_CX-144_2022 -0.64420493
3DD.003D585EF5_CX-56_2020 -5.35469151
3DD.003E2A31CF_CX-128_2022 -2.8524327
3DD.003E2A2D86_CX-30_2022 -2.93535164
3DD.003D5860A6_CX-32_2018 -2.2206339
3DD.003E2A31D4_CX-128_2022 -2.54632834
3DD.003D58602F_CX-121_2020 -0.96699511
3DD.003E0912C9_CX-145_2020 -0.88115495
3DD.003E2A32C1_CX-48_2022 -0.53535706
3DD.003E2A2D67_CX-35_2022 -0.84342932
3DD.003E2A327B_CX-68_2022 -0.26722683
3DD.003D58604C_CX-120_2020 -2.0283048
3DD.003E2A31D0_CX-134_2022 1.88316546
3DD.003D5866E1_CX-81_2020 -1.80903384
3DD.003E2A32C6_CX-57_2022 0.20328638
3DD.003E2A2DBC_CX-38_2022 1.96353114
3DD.003E2A2DBA_CX-30_2022 -2.89708859
3DD.003D3DB5D6_CX-114_2018 -1.59243769
3DD.003E2A32D2_CX-68_2022 -1.18553991
3DD.003D585FE0_CX-99_2020 0.60643781
3DD.003E09120D_CX-13_2022 2.94358514
3DD.003D585FDB_CX-99_2020 0.49164867
3DD.003D586716_CX-81_2020 -2.40211104
3DD.003E091183_CX-23_2022 1.37542154
3DD.003D586690_CX-20_2020 1.55697785
3DD.003E2A32C3_CX-61_2022 1.17200272
3DD.003D586005_CX-106_2020 4.30740266
3DD.003D585F6D_CX-4_2020 0.63153465
3DD.003E090FF5_CX-12_2022 0.68656749
3DD.003D5866A6_CX-31_2020 3.16741809
3DD.003D586796_CX-133_2020 0.50256906
3DD.003D58670A_CX-74_2020 -0.1943742
3DD.003E2A2C15_CX-72_2022 2.59149037
3DD.003E091069_CX-144_2020 -0.57418438
3DD.003E09100C_CX-9_2022 -0.92284104
3DD.003E2A2BE7_CX-77_2022 -2.72996097
3DD.003E09119C_CX-30_2022 -3.12666686
3DD.003D58670C_CX-57_2020 0.76138297
