id_tag,dam_tag,sire_tag
3DD.003BA5B03F_2011,0,0
3DD.003BA5B03F_2012,0,0
3DD.003BA5B046_2013,0,0
3DD.003BA5B062_2013,0,0
3DD.003BA5B06E_2013,0,0
3DD.003BA5B086_2013,0,0
3DD.003BA5B0B0_2013,0,0
3DD.003BA5B0BF_2013,0,0
3DD.003BA5B0C5_2013,0,0
3DD.003BA5B0C8_2013,0,0
3DD.003BA5B0DC_2013,0,0
3DD.003BA5B0DE_2013,0,0
3DD.003BA5B0DF_2013,0,0
3DD.003BA5B0E0_2013,0,0
3DD.003BA5BOEA_2013,0,0
3DD.003BDCF979_2015,384.1B797139D7_2013,3DD.003BA5B0E0_2013
3DD.003BDCF9D2_2015,384.1B79714083_2013,3DD.003BA5B0C5_2013
3DD.003BDCFA3A_2014,3DD.003BA5AFE0_2012,3DD.003BA5AF33_2012
3DD.003BDCFA40_2014,3DD.003BA5B001_2012,3DD.003BA5AF2D_2012
3DD.003BDCFA42_2014,3DD.003BA5B028_2012,3D9.1C2DC09070_2012
3DD.003BDCFA52_2014,3DD.003BA5AFE0_2012,3DD.003BA5AF33_2012
3DD.003BDCFA54_2014,3DD.003BA5B001_2012,3DD.003BA5AF2D_2012
3DD.003BDCFA5E_2014,3DD.003BA5B028_2012,3D9.1C2DC09070_2012
3DD.003BDCFA5F_2014,3DD.003BA5AFE0_2012,3DD.003BA5AF33_2012
3DD.003BDCFA71_2014,3DD.003BA5AFE0_2012,3DD.003BA5AF33_2012
3DD.003BDCFA79_2014,3DD.003BA5B028_2012,3D9.1C2DC09070_2012
3DD.003BDCFA7E_2014,3DD.003BA5B028_2012,3D9.1C2DC09070_2012
3DD.003BDCFAD4_2015,3DD.003BA5B046_2013,3DD.003BA5BOEA_2013
3DD.003BDCFAFA_2015,384.1B79713E40_2013,384.1B797067B9_2013
3DD.003BDCFB05_2014,3DD.003B9F9B67_2012,3DD.003BA5AF8E_2012
3DD.003BDCFB07_2014,3DD.003BA5AF94_2012,3DD.003BA5AFE3_2012
3DD.003BDCFB17_2014,3DD.003B9F9B67_2012,3DD.003BA5AF8E_2012
3DD.003BDCFB22_2014,3DD.003BA5AFBE_2012,3DD.003BA5AFB1_2012
3DD.003BDCFB43_2014,3DD.003B9F9B8C_2012,3DD.003BA5B038_2012
3DD.003BDCFB48_2014,3DD.003BA5AF89_2012,3DD.003BA5B033_2012
3DD.003BDCFB4C_2014,3DD.003B9F9B8C_2012,3DD.003BA5B038_2012
3DD.003BDCFB4E_2014,3DD.003BA5AF94_2012,3DD.003BA5AFE3_2012
3DD.003BDCFB53_2014,3DD.003BA5AF89_2012,3DD.003BA5B033_2012
3DD.003BDCFB57_2014,3DD.003BA5AF89_2012,3DD.003BA5B033_2012
